2.403468800354004
tensor(0.5293, dtype=torch.float64)
tensor(0.3316, dtype=torch.float64)
tensor(0.2319, dtype=torch.float64)
tensor(0.2144, dtype=torch.float64)
tensor(0.0059, dtype=torch.float64)
tensor(-0.1428, dtype=torch.float64)
tensor(-0.1574, dtype=torch.float64)
tensor(-0.1943, dtype=torch.float64)
tensor(-0.3292, dtype=torch.float64)
tensor(-0.6160, dtype=torch.float64)
tensor(-0.7541, dtype=torch.float64)
tensor(-0.8575, dtype=torch.float64)
tensor(-1.1718, dtype=torch.float64)
tensor(-1.1961, dtype=torch.float64)
tensor(-1.6728, dtype=torch.float64)
tensor(-1.7855, dtype=torch.float64)
tensor(-2.0797, dtype=torch.float64)
tensor(-2.8476, dtype=torch.float64)
tensor(-2.9654, dtype=torch.float64)
tensor(-3.2890, dtype=torch.float64)
tensor(-3.6751, dtype=torch.float64)
tensor(-3.8330, dtype=torch.float64)
tensor(-4.7542, dtype=torch.float64)
tensor(-5.1639, dtype=torch.float64)
tensor(-5.2427, dtype=torch.float64)
tensor(-8.1719, dtype=torch.float64)
tensor(-8.9878, dtype=torch.float64)
tensor(-10.9682, dtype=torch.float64)
