1.0564893409461114
tensor(-1.0075, dtype=torch.float64)
tensor(-1.7623, dtype=torch.float64)
tensor(-2.2090, dtype=torch.float64)
tensor(-2.7131, dtype=torch.float64)
tensor(-3.0147, dtype=torch.float64)
tensor(-3.3575, dtype=torch.float64)
tensor(-3.6588, dtype=torch.float64)
tensor(-3.8984, dtype=torch.float64)
tensor(-4.3214, dtype=torch.float64)
tensor(-5.6643, dtype=torch.float64)
tensor(-6.3717, dtype=torch.float64)
tensor(-6.8050, dtype=torch.float64)
tensor(-7.3609, dtype=torch.float64)
tensor(-7.7882, dtype=torch.float64)
tensor(-8.1108, dtype=torch.float64)
tensor(-8.2941, dtype=torch.float64)
tensor(-8.5814, dtype=torch.float64)
tensor(-8.7665, dtype=torch.float64)
tensor(-8.9823, dtype=torch.float64)
tensor(-9.1515, dtype=torch.float64)
tensor(-9.2469, dtype=torch.float64)
tensor(-9.3981, dtype=torch.float64)
tensor(-9.6586, dtype=torch.float64)
tensor(-9.9125, dtype=torch.float64)
tensor(-10.0366, dtype=torch.float64)
