tensor(-10.2570, dtype=torch.float64)
tensor(-10.4094, dtype=torch.float64)
tensor(-10.5386, dtype=torch.float64)
tensor(-10.8010, dtype=torch.float64)
tensor(-11.0230, dtype=torch.float64)
tensor(-11.1541, dtype=torch.float64)
tensor(-11.3617, dtype=torch.float64)
tensor(-11.5369, dtype=torch.float64)
tensor(-11.6477, dtype=torch.float64)
tensor(-11.8004, dtype=torch.float64)
tensor(-11.9880, dtype=torch.float64)
tensor(-12.1350, dtype=torch.float64)
tensor(-12.2790, dtype=torch.float64)
tensor(-12.3709, dtype=torch.float64)
tensor(-12.6863, dtype=torch.float64)
tensor(-12.8223, dtype=torch.float64)
tensor(-12.9224, dtype=torch.float64)
tensor(-13.1436, dtype=torch.float64)
tensor(-13.2702, dtype=torch.float64)
tensor(-13.4376, dtype=torch.float64)
tensor(-13.6657, dtype=torch.float64)
tensor(-13.8292, dtype=torch.float64)
tensor(-14.0164, dtype=torch.float64)
tensor(-14.1848, dtype=torch.float64)
tensor(-14.3556, dtype=torch.float64)
tensor(-14.4868, dtype=torch.float64)
tensor(-14.6035, dtype=torch.float64)
tensor(-14.6935, dtype=torch.float64)
tensor(-14.9222, dtype=torch.float64)
tensor(-15.0844, dtype=torch.float64)
tensor(-15.1786, dtype=torch.float64)
tensor(-15.3721, dtype=torch.float64)
tensor(-15.5146, dtype=torch.float64)
tensor(-15.7387, dtype=torch.float64)
tensor(-15.9037, dtype=torch.float64)
tensor(-15.9711, dtype=torch.float64)
tensor(-16.2235, dtype=torch.float64)
tensor(-16.3606, dtype=torch.float64)
tensor(-16.3941, dtype=torch.float64)
tensor(-16.6405, dtype=torch.float64)
tensor(-16.6841, dtype=torch.float64)
tensor(-16.9299, dtype=torch.float64)
tensor(-17.0623, dtype=torch.float64)
tensor(-17.1830, dtype=torch.float64)
tensor(-17.3225, dtype=torch.float64)
tensor(-17.4303, dtype=torch.float64)
tensor(-17.6175, dtype=torch.float64)
tensor(-17.6569, dtype=torch.float64)
tensor(-17.9084, dtype=torch.float64)
tensor(-18.0674, dtype=torch.float64)
tensor(-18.1830, dtype=torch.float64)
tensor(-18.3683, dtype=torch.float64)
tensor(-18.3742, dtype=torch.float64)
tensor(-18.6392, dtype=torch.float64)
tensor(-18.7701, dtype=torch.float64)
tensor(-18.8190, dtype=torch.float64)
tensor(-19.0916, dtype=torch.float64)
tensor(-19.2514, dtype=torch.float64)
tensor(-19.4153, dtype=torch.float64)
tensor(-19.5341, dtype=torch.float64)
tensor(-19.7022, dtype=torch.float64)
tensor(-19.8199, dtype=torch.float64)
tensor(-19.9282, dtype=torch.float64)
tensor(-20.1796, dtype=torch.float64)
tensor(-20.2845, dtype=torch.float64)
tensor(-20.4532, dtype=torch.float64)
tensor(-20.6487, dtype=torch.float64)
tensor(-20.6847, dtype=torch.float64)
tensor(-20.9337, dtype=torch.float64)
tensor(-20.9473, dtype=torch.float64)
tensor(-21.2336, dtype=torch.float64)
