1.0564893494342518
tensor(-1.0073, dtype=torch.float64)
tensor(-1.7614, dtype=torch.float64)
tensor(-2.2023, dtype=torch.float64)
tensor(-2.6985, dtype=torch.float64)
tensor(-3.0543, dtype=torch.float64)
tensor(-3.2001, dtype=torch.float64)
tensor(-3.2979, dtype=torch.float64)
tensor(-4.2240, dtype=torch.float64)
tensor(-4.4108, dtype=torch.float64)
tensor(-5.0017, dtype=torch.float64)
tensor(-6.2228, dtype=torch.float64)
tensor(-6.7227, dtype=torch.float64)
tensor(-7.1253, dtype=torch.float64)
tensor(-7.5643, dtype=torch.float64)
tensor(-7.9366, dtype=torch.float64)
tensor(-8.2913, dtype=torch.float64)
tensor(-8.4235, dtype=torch.float64)
tensor(-8.5975, dtype=torch.float64)
tensor(-8.7149, dtype=torch.float64)
tensor(-8.9305, dtype=torch.float64)
tensor(-9.0442, dtype=torch.float64)
tensor(-9.1396, dtype=torch.float64)
tensor(-9.3798, dtype=torch.float64)
tensor(-9.4378, dtype=torch.float64)
tensor(-9.6980, dtype=torch.float64)
tensor(-9.8704, dtype=torch.float64)
tensor(-9.9914, dtype=torch.float64)
tensor(-10.2006, dtype=torch.float64)
