tensor(-10.3223, dtype=torch.float64)
tensor(-10.4861, dtype=torch.float64)
tensor(-10.5536, dtype=torch.float64)
tensor(-10.6497, dtype=torch.float64)
tensor(-10.8701, dtype=torch.float64)
tensor(-10.9964, dtype=torch.float64)
tensor(-11.1028, dtype=torch.float64)
tensor(-11.2113, dtype=torch.float64)
tensor(-11.4222, dtype=torch.float64)
tensor(-11.5684, dtype=torch.float64)
tensor(-11.6622, dtype=torch.float64)
tensor(-11.7917, dtype=torch.float64)
tensor(-11.9903, dtype=torch.float64)
tensor(-12.1336, dtype=torch.float64)
tensor(-12.1951, dtype=torch.float64)
tensor(-12.3636, dtype=torch.float64)
tensor(-12.5385, dtype=torch.float64)
tensor(-12.6929, dtype=torch.float64)
tensor(-12.7964, dtype=torch.float64)
tensor(-12.9698, dtype=torch.float64)
tensor(-13.0839, dtype=torch.float64)
tensor(-13.2553, dtype=torch.float64)
tensor(-13.3723, dtype=torch.float64)
tensor(-13.4851, dtype=torch.float64)
tensor(-13.6986, dtype=torch.float64)
tensor(-13.7710, dtype=torch.float64)
tensor(-14.0205, dtype=torch.float64)
tensor(-14.1701, dtype=torch.float64)
tensor(-14.2891, dtype=torch.float64)
tensor(-14.3981, dtype=torch.float64)
tensor(-14.5946, dtype=torch.float64)
tensor(-14.7475, dtype=torch.float64)
tensor(-14.8967, dtype=torch.float64)
tensor(-15.0385, dtype=torch.float64)
tensor(-15.1155, dtype=torch.float64)
tensor(-15.2259, dtype=torch.float64)
tensor(-15.3543, dtype=torch.float64)
tensor(-15.5486, dtype=torch.float64)
tensor(-15.6779, dtype=torch.float64)
tensor(-15.8260, dtype=torch.float64)
tensor(-15.9002, dtype=torch.float64)
tensor(-16.0150, dtype=torch.float64)
tensor(-16.2053, dtype=torch.float64)
tensor(-16.4046, dtype=torch.float64)
tensor(-16.5142, dtype=torch.float64)
tensor(-16.6476, dtype=torch.float64)
tensor(-16.7689, dtype=torch.float64)
tensor(-16.8509, dtype=torch.float64)
tensor(-17.0018, dtype=torch.float64)
tensor(-17.1359, dtype=torch.float64)
tensor(-17.2621, dtype=torch.float64)
tensor(-17.4533, dtype=torch.float64)
tensor(-17.5394, dtype=torch.float64)
tensor(-17.7013, dtype=torch.float64)
tensor(-17.8600, dtype=torch.float64)
tensor(-17.9649, dtype=torch.float64)
tensor(-18.1794, dtype=torch.float64)
tensor(-18.2915, dtype=torch.float64)
tensor(-18.3189, dtype=torch.float64)
tensor(-18.5151, dtype=torch.float64)
tensor(-18.6133, dtype=torch.float64)
tensor(-18.7941, dtype=torch.float64)
tensor(-18.8862, dtype=torch.float64)
tensor(-19.1229, dtype=torch.float64)
tensor(-19.2508, dtype=torch.float64)
tensor(-19.4012, dtype=torch.float64)
tensor(-19.4855, dtype=torch.float64)
tensor(-19.6085, dtype=torch.float64)
tensor(-19.7813, dtype=torch.float64)
tensor(-19.8843, dtype=torch.float64)
tensor(-19.9396, dtype=torch.float64)
tensor(-20.1383, dtype=torch.float64)
tensor(-20.2533, dtype=torch.float64)
tensor(-20.3120, dtype=torch.float64)
tensor(-20.5056, dtype=torch.float64)
tensor(-20.5487, dtype=torch.float64)
tensor(-20.5553, dtype=torch.float64)
tensor(-20.9351, dtype=torch.float64)
tensor(-20.9393, dtype=torch.float64)
tensor(-21.2051, dtype=torch.float64)
tensor(-21.2811, dtype=torch.float64)
tensor(-21.4116, dtype=torch.float64)
tensor(-21.5474, dtype=torch.float64)
tensor(-21.6883, dtype=torch.float64)
tensor(-21.8587, dtype=torch.float64)
tensor(-21.9577, dtype=torch.float64)
tensor(-22.0241, dtype=torch.float64)
tensor(-22.1627, dtype=torch.float64)
