1.0564893511141962
tensor(-0.8613, dtype=torch.float64)
tensor(-1.5168, dtype=torch.float64)
tensor(-1.9894, dtype=torch.float64)
tensor(-2.2797, dtype=torch.float64)
tensor(-2.5592, dtype=torch.float64)
tensor(-2.8331, dtype=torch.float64)
tensor(-3.4495, dtype=torch.float64)
tensor(-3.6953, dtype=torch.float64)
tensor(-4.0246, dtype=torch.float64)
tensor(-4.1874, dtype=torch.float64)
tensor(-4.4589, dtype=torch.float64)
tensor(-6.0195, dtype=torch.float64)
tensor(-6.0782, dtype=torch.float64)
tensor(-7.1965, dtype=torch.float64)
tensor(-7.2037, dtype=torch.float64)
tensor(-7.8602, dtype=torch.float64)
tensor(-7.9638, dtype=torch.float64)
tensor(-8.1707, dtype=torch.float64)
tensor(-8.3704, dtype=torch.float64)
tensor(-8.5380, dtype=torch.float64)
tensor(-8.6393, dtype=torch.float64)
tensor(-8.8630, dtype=torch.float64)
tensor(-8.9373, dtype=torch.float64)
tensor(-9.1977, dtype=torch.float64)
tensor(-9.3648, dtype=torch.float64)
tensor(-9.5104, dtype=torch.float64)
tensor(-9.7838, dtype=torch.float64)
tensor(-9.9520, dtype=torch.float64)
tensor(-10.0193, dtype=torch.float64)
