tensor(-10.1581, dtype=torch.float64)
tensor(-10.4180, dtype=torch.float64)
tensor(-10.5292, dtype=torch.float64)
tensor(-10.6543, dtype=torch.float64)
tensor(-10.8801, dtype=torch.float64)
tensor(-11.0436, dtype=torch.float64)
tensor(-11.2336, dtype=torch.float64)
tensor(-11.3482, dtype=torch.float64)
tensor(-11.6174, dtype=torch.float64)
tensor(-11.8104, dtype=torch.float64)
tensor(-11.9447, dtype=torch.float64)
tensor(-12.1206, dtype=torch.float64)
tensor(-12.2818, dtype=torch.float64)
tensor(-12.3325, dtype=torch.float64)
tensor(-12.5468, dtype=torch.float64)
tensor(-12.6750, dtype=torch.float64)
tensor(-12.9412, dtype=torch.float64)
tensor(-13.0231, dtype=torch.float64)
tensor(-13.2421, dtype=torch.float64)
tensor(-13.3793, dtype=torch.float64)
tensor(-13.5125, dtype=torch.float64)
tensor(-13.5926, dtype=torch.float64)
tensor(-13.7180, dtype=torch.float64)
tensor(-13.8932, dtype=torch.float64)
tensor(-14.0152, dtype=torch.float64)
tensor(-14.1451, dtype=torch.float64)
tensor(-14.2825, dtype=torch.float64)
tensor(-14.3864, dtype=torch.float64)
tensor(-14.6047, dtype=torch.float64)
tensor(-14.6577, dtype=torch.float64)
tensor(-14.9710, dtype=torch.float64)
tensor(-15.1412, dtype=torch.float64)
tensor(-15.2510, dtype=torch.float64)
tensor(-15.4405, dtype=torch.float64)
tensor(-15.5405, dtype=torch.float64)
tensor(-15.7581, dtype=torch.float64)
tensor(-15.8566, dtype=torch.float64)
tensor(-16.0350, dtype=torch.float64)
tensor(-16.1723, dtype=torch.float64)
tensor(-16.2180, dtype=torch.float64)
tensor(-16.4011, dtype=torch.float64)
tensor(-16.5935, dtype=torch.float64)
tensor(-16.7370, dtype=torch.float64)
tensor(-16.8941, dtype=torch.float64)
tensor(-17.0847, dtype=torch.float64)
tensor(-17.2127, dtype=torch.float64)
tensor(-17.3297, dtype=torch.float64)
tensor(-17.3516, dtype=torch.float64)
tensor(-17.6428, dtype=torch.float64)
tensor(-17.7649, dtype=torch.float64)
tensor(-18.0391, dtype=torch.float64)
tensor(-18.1483, dtype=torch.float64)
tensor(-18.2596, dtype=torch.float64)
tensor(-18.3991, dtype=torch.float64)
tensor(-18.4983, dtype=torch.float64)
tensor(-18.6316, dtype=torch.float64)
tensor(-18.7622, dtype=torch.float64)
tensor(-18.8907, dtype=torch.float64)
tensor(-19.0553, dtype=torch.float64)
tensor(-19.1478, dtype=torch.float64)
tensor(-19.2747, dtype=torch.float64)
tensor(-19.4390, dtype=torch.float64)
tensor(-19.6165, dtype=torch.float64)
tensor(-19.7050, dtype=torch.float64)
tensor(-19.8503, dtype=torch.float64)
tensor(-19.9736, dtype=torch.float64)
tensor(-20.0524, dtype=torch.float64)
tensor(-20.2577, dtype=torch.float64)
tensor(-20.5661, dtype=torch.float64)
tensor(-20.6692, dtype=torch.float64)
tensor(-20.8752, dtype=torch.float64)
tensor(-21.0016, dtype=torch.float64)
tensor(-21.0372, dtype=torch.float64)
tensor(-21.3089, dtype=torch.float64)
tensor(-21.4038, dtype=torch.float64)
tensor(-21.4745, dtype=torch.float64)
tensor(-21.6650, dtype=torch.float64)
tensor(-21.8391, dtype=torch.float64)
tensor(-22.0823, dtype=torch.float64)
tensor(-22.1996, dtype=torch.float64)
tensor(-22.3761, dtype=torch.float64)
tensor(-22.5473, dtype=torch.float64)
tensor(-22.5973, dtype=torch.float64)
tensor(-22.7979, dtype=torch.float64)
tensor(-22.8391, dtype=torch.float64)
tensor(-23.1186, dtype=torch.float64)
tensor(-23.1863, dtype=torch.float64)
tensor(-23.4002, dtype=torch.float64)
tensor(-23.5354, dtype=torch.float64)
tensor(-23.6173, dtype=torch.float64)
tensor(-23.8480, dtype=torch.float64)
tensor(-23.9983, dtype=torch.float64)
tensor(-24.1333, dtype=torch.float64)
tensor(-24.2365, dtype=torch.float64)
tensor(-24.3165, dtype=torch.float64)
tensor(-24.4836, dtype=torch.float64)
tensor(-24.6532, dtype=torch.float64)
tensor(-24.7802, dtype=torch.float64)
tensor(-24.9627, dtype=torch.float64)
tensor(-25.0060, dtype=torch.float64)
tensor(-25.1962, dtype=torch.float64)
tensor(-25.3068, dtype=torch.float64)
tensor(-25.5177, dtype=torch.float64)
tensor(-25.6084, dtype=torch.float64)
tensor(-25.7920, dtype=torch.float64)
tensor(-25.9223, dtype=torch.float64)
tensor(-26.1431, dtype=torch.float64)
tensor(-26.3402, dtype=torch.float64)
tensor(-26.3774, dtype=torch.float64)
tensor(-26.5707, dtype=torch.float64)
tensor(-26.6020, dtype=torch.float64)
