1.0564893457206905
tensor(-1.0068, dtype=torch.float64)
tensor(-1.7765, dtype=torch.float64)
tensor(-2.3584, dtype=torch.float64)
tensor(-2.7941, dtype=torch.float64)
tensor(-3.3188, dtype=torch.float64)
tensor(-3.4754, dtype=torch.float64)
tensor(-3.7273, dtype=torch.float64)
tensor(-3.7988, dtype=torch.float64)
tensor(-4.1174, dtype=torch.float64)
tensor(-4.1452, dtype=torch.float64)
tensor(-4.1553, dtype=torch.float64)
tensor(-5.0796, dtype=torch.float64)
tensor(-6.2532, dtype=torch.float64)
tensor(-6.7810, dtype=torch.float64)
tensor(-7.9465, dtype=torch.float64)
tensor(-8.2498, dtype=torch.float64)
tensor(-8.7815, dtype=torch.float64)
tensor(-9.0947, dtype=torch.float64)
tensor(-9.4835, dtype=torch.float64)
tensor(-9.6493, dtype=torch.float64)
tensor(-9.9115, dtype=torch.float64)
tensor(-10.0524, dtype=torch.float64)
