1.056489349611088
tensor(-0.8607, dtype=torch.float64)
tensor(-1.5256, dtype=torch.float64)
tensor(-1.9990, dtype=torch.float64)
tensor(-2.3202, dtype=torch.float64)
tensor(-2.7879, dtype=torch.float64)
tensor(-3.2878, dtype=torch.float64)
tensor(-3.5554, dtype=torch.float64)
tensor(-3.9894, dtype=torch.float64)
tensor(-4.2673, dtype=torch.float64)
tensor(-4.5564, dtype=torch.float64)
tensor(-4.6673, dtype=torch.float64)
tensor(-5.1100, dtype=torch.float64)
tensor(-5.5384, dtype=torch.float64)
tensor(-6.5583, dtype=torch.float64)
tensor(-7.0255, dtype=torch.float64)
tensor(-7.7261, dtype=torch.float64)
tensor(-8.1945, dtype=torch.float64)
tensor(-8.2290, dtype=torch.float64)
tensor(-8.6654, dtype=torch.float64)
tensor(-8.8300, dtype=torch.float64)
tensor(-8.9553, dtype=torch.float64)
tensor(-9.1544, dtype=torch.float64)
tensor(-9.2554, dtype=torch.float64)
tensor(-9.3452, dtype=torch.float64)
tensor(-9.5134, dtype=torch.float64)
tensor(-9.7722, dtype=torch.float64)
tensor(-9.7748, dtype=torch.float64)
tensor(-9.9880, dtype=torch.float64)
tensor(-10.1728, dtype=torch.float64)
