1.0564893512026146
tensor(-1.0065, dtype=torch.float64)
tensor(-1.7762, dtype=torch.float64)
tensor(-2.3570, dtype=torch.float64)
tensor(-2.7878, dtype=torch.float64)
tensor(-3.3214, dtype=torch.float64)
tensor(-3.4484, dtype=torch.float64)
tensor(-3.6383, dtype=torch.float64)
tensor(-3.9885, dtype=torch.float64)
tensor(-4.1484, dtype=torch.float64)
tensor(-4.8582, dtype=torch.float64)
tensor(-5.0542, dtype=torch.float64)
tensor(-6.3469, dtype=torch.float64)
tensor(-7.0549, dtype=torch.float64)
tensor(-7.9372, dtype=torch.float64)
tensor(-8.1958, dtype=torch.float64)
tensor(-8.5752, dtype=torch.float64)
tensor(-8.7629, dtype=torch.float64)
tensor(-8.9362, dtype=torch.float64)
tensor(-9.1778, dtype=torch.float64)
tensor(-9.4016, dtype=torch.float64)
tensor(-9.5657, dtype=torch.float64)
tensor(-9.7458, dtype=torch.float64)
tensor(-9.9781, dtype=torch.float64)
tensor(-10.1833, dtype=torch.float64)
